id,page,category,jp,kana,pos,km,example_jp,example_km
w30,2,vocab,荷物,にもつ,ន.,អីវ៉ាន់ / ភស្តុភារ,荷物を空港に運ぶ。,ដឹកជញ្ជូនអីវ៉ាន់ទៅព្រលានយន្តហោះ។
w31,2,vocab,鉄道,てつどう,ន.,ផ្លូវរថភ្លើង / ប្រព័ន្ធរថភ្លើង,鉄道で移動する。,ធ្វើដំណើរដោយផ្លូវរថភ្លើង។
w32,2,vocab,船,ふね,ន.,កប៉ាល់ / ទូក,船で荷物を運ぶ。,ដឹកជញ្ជូនអីវ៉ាន់ដោយកប៉ាល់។
w33,2,vocab,飛行機,ひこうき,ន.,យន្តហោះ,飛行機に乗る。,ជិះយន្តហោះ។
w34,2,vocab,輸送,ゆそう,ន.,ការដឹកជញ្ជូន,輸送の方法を選ぶ。,ជ្រើសរើសវិធីដឹកជញ្ជូន។
w35,2,vocab,行う,おこなう,កិ.,ធ្វើ / អនុវត្ត,会議を行う。,រៀបចំកិច្ចប្រជុំ។
w36,2,vocab,駅,えき,ន.,ស្ថានីយរថភ្លើង,駅で待ち合わせる。,ណាត់ជួបគ្នានៅស្ថានីយ។
w37,2,vocab,港,みなと,ន.,កំពង់ផែ,港に船が着く。,កប៉ាល់មកដល់កំពង់ផែ។
w38,2,vocab,空港,くうこう,ន.,ព្រលានយន្តហោះ,空港まで送る。,ជូនទៅដល់ព្រលានយន្តហោះ។
w39,2,vocab,国内貨物,こくないかもつ,ន.,ទំនិញដឹកជញ្ជូនក្នុងស្រុក,国内貨物の量が増える。,បរិមាណទំនិញដឹកជញ្ជូនក្នុងស្រុកកើនឡើង។
w40,2,vocab,割以上,わりいじょう,ន.,ចាប់ពី...ភាគដប់ឡើងទៅ,九割以上が賛成した。,ជាង៩០ភាគរយបានយល់ព្រម។
w41,2,vocab,社会生活,しゃかいせいかつ,ន.,ជីវិតរស់នៅក្នុងសង្គម,社会生活に必要な知識。,ចំណេះដឹងចាំបាច់សម្រាប់ជីវិតសង្គម។
w42,2,vocab,欠かす,かかす,កិ.,ខកខាន / ខ្វះ,挨拶を欠かさない。,មិនខកខានធ្វើការស្វាគមន៍។
g1,2,grammar,〜をはじめ,, វេយ្យាករណ៍,ចាប់ផ្តើមពី... / រាប់ចាប់តាំងពី...,野菜をはじめ、多くの食品を輸入している。,នាំចូលអាហារជាច្រើន ចាប់ផ្តើមពីបន្លែ។
g2,2,grammar,〜のほか,, វេយ្យាករណ៍,ក្រៅពី... / បន្ថែមលើ...,米のほか、野菜も育てる。,ក្រៅពីអង្ករ ក៏ដាំបន្លែផងដែរ។
g3,2,grammar,〜の先,, វេយ្យាករណ៍,បន្តពី... / ទៅមុខទៀតពី...,駅の先にコンビニがある。,មានហាងទំនិញនៅបន្តពីស្ថានីយរថភ្លើង។
g4,2,grammar,〜このように,, វេយ្យាករណ៍,ដូចដែលបានរៀបរាប់នេះ / តាមរបៀបនេះ,このように、社会は変化している。,តាមរបៀបនេះ សង្គមកំពុងផ្លាស់ប្តូរ។
g5,2,grammar,〜以上,, វេយ្យាករណ៍,ចាប់ពី...ឡើងទៅ / លើសពី…,十歳以上の子供が対象だ。,សម្រាប់កុមារអាយុចាប់ពី១០ឆ្នាំឡើងទៅ។
w3_01,3,vocab,輸送,ゆそう,ន.,ការដឹកជញ្ជូន,輸送の方法を選ぶ。,ជ្រើសរើសវិធីដឹកជញ្ជូន។
w3_02,3,vocab,止まる,とまる,កិ.,ឈប់ / ផ្អាក / គាំងជាប់,車が止まる。,រថយន្តឈប់។
w3_03,3,vocab,大切,たいせつ,គុណ.,សំខាន់,大切な物です。,វត្ថុសំខាន់មួយ។
w3_04,3,vocab,日本中,にほんじゅう,ន.,ទូទាំងប្រទេសជប៉ុន,日本中で売られている。,លក់ទូទាំងប្រទេសជប៉ុន។
w3_05,3,vocab,商品,しょうひん,ន.,ទំនិញ / ផលិតផល,商品を運ぶ。,ដឹកជញ្ជូនទំនិញ។
w3_06,3,vocab,薬,くすり,ន.,ថ្នាំសង្កូវ / ឱសថ,薬を買う。,ទិញថ្នាំ។
w3_07,3,vocab,お店,おみせ,ន.,ហាង / ហាងលក់ទំនិញ,お店で働く。,ធ្វើការនៅហាង។
w3_08,3,vocab,工場,こうじょう,ន.,រោងចក្រ,工場で働く。,ធ្វើការនៅរោងចក្រ។
w3_09,3,vocab,病院,びょういん,ន.,មន្ទីរពេទ្យ,病院に行く。,ទៅមន្ទីរពេទ្យ។
w3_10,3,vocab,東日本大震災,ひがしにほんだいしんさい,ន.,គ្រោះមហន្តរាយរញ្ជួយដីធំនៅភាគខាងកើតជប៉ុន,東日本大震災が起こった。,គ្រោះមហន្តរាយនោះបានកើតឡើង។
w3_11,3,vocab,直後,ちょくご,ន.,ភ្លាមៗបន្ទាប់ពី,地震の直後、道路が混乱した。,ភ្លាមៗបន្ទាប់ពីរញ្ជួយដី ផ្លូវច្របូកច្របល់។
w3_12,3,vocab,燃料不足,ねんりょうぶそく,ន.,ការកង្វះខាតប្រេងឥន្ធនៈ,燃料不足が続いた。,ការខ្វះប្រេងបានបន្ត។
w3_13,3,vocab,多く,おおく,ន.,ជាច្រើន,多くの人が困った。,មនុស្សជាច្រើនជួបការលំបាក។
w3_14,3,vocab,走る,はしる,កិ.,រត់ / បើកបរ,トラックが走る。,ឡានដឹកទំនិញរត់លើផ្លូវ។
w3_15,3,vocab,間,あいだ,ន.,កំឡុងពេល / រយៈពេល,その間、待っていた。,រង់ចាំក្នុងកំឡុងពេលនោះ។
w3_16,3,vocab,買う,かう,កិ.,ទិញ,食料品を買う。,ទិញអាហារ។
w3_17,3,vocab,時々,ときどき,ន.,ជារឿយៗ / ជួនកាល,時々、買い物に行く。,ជួនកាលទៅទិញអីវ៉ាន់។
w3_18,3,vocab,市民,しみん,ន.,ប្រជាពលរដ្ឋ / អ្នកក្រុង,市民が困った。,ប្រជាពលរដ្ឋជួបការលំបាក។
w3_19,3,vocab,買い物,かいもの,ន.,ការទិញអីវ៉ាន់,買い物に行く。,ទៅទិញអីវ៉ាន់។
w3_20,3,vocab,行く,いく,កិ.,ទៅ,お店に行く。,ទៅហាង។
w3_21,3,vocab,困った,こまった,គុណ.,ដែលលំបាក / ដែលជួបបញ្ហា,困った事態が起こった。,ស្ថានការណ៍លំបាកបានកើតឡើង។
w3_22,3,vocab,事態,じたい,ន.,ស្ថានការណ៍ / ហេតុការណ៍,困った事態が起こる。,ស្ថានការណ៍លំបាកកើតឡើង។
w3_23,3,vocab,起こる,おこる,កិ.,កើតឡើង,事故が起こる。,គ្រោះថ្នាក់កើតឡើង។
w3_24,3,vocab,同じ,おなじ,គុណ.,ដូចគ្នា,同じ物を買う。,ទិញរបស់ដូចគ្នា។
w3_25,3,vocab,生産活動,せいさんかつどう,ន.,សកម្មភាពផលិតកម្ម,生産活動が止まる。,សកម្មភាពផលិតកម្មឈប់។
w3_26,3,vocab,市場,いちば,ន.,ទីផ្សារ,市場で働く。,ធ្វើការនៅទីផ្សារ។
w3_27,3,vocab,建設現場,けんせつげんば,ន.,ការដ្ឋានសំណង់,建設現場で働く。,ធ្វើការនៅការដ្ឋានសំណង់។
w3_28,3,vocab,可能性,かのうせい,ន.,លទ្ធភាព / ភាគរយដែលអាចកើតឡើង,可能性がある。,មានលទ្ធភាព។
w3_29,3,vocab,経済活動,けいざいかつどう,ន.,សកម្មភាពសេដ្ឋកិច្ច,経済活動が止まる。,សកម្មភាពសេដ្ឋកិច្ចឈប់។
w3_30,3,vocab,知る,しる,កិ.,ដឹង / យល់ដឹង,事故の状況を知る。,ដឹងពីស្ថានភាពគ្រោះថ្នាក់។
g3_1,3,grammar,〜中,〜じゅう,វេយ្យាករណ៍,ទូទាំង... / ពេញមួយ...,日本中で使われている。,ត្រូវបានប្រើប្រាស់ទូទាំងប្រទេសជប៉ុន។
g3_2,3,grammar,〜直後,〜ちょくご,វេយ្យាករណ៍,ភ្លាមៗបន្ទាប់ពី...,地震の直後に起こった。,បានកើតឡើងភ្លាមៗបន្ទាប់ពីរញ្ជួយដី។
g3_3,3,grammar,〜の間,〜のあいだ,វេយ្យាករណ៍,ក្នុងកំឡុងពេល...,その間に準備する。,ត្រៀមរៀបចំក្នុងកំឡុងពេលនោះ។
g3_4,3,grammar,〜のために,〜のために,វេយ្យាករណ៍,ដើម្បី... / សម្រាប់…,安全のために注意する。,ប្រុងប្រយ័ត្នដើម្បីសុវត្ថិភាព។
w4_01,4,vocab,運転免許,うんてんめんきょ,ន.,ប័ណ្ណបើកបរ / ច្បាប់បើកបរ,運転免許を取る。,យកប័ណ្ណបើកបរ។
w4_02,4,vocab,仕組み,しくみ,ន.,ប្រព័ន្ធ / រចនាសម្ព័ន្ធ,仕組みを理解する。,យល់ពីរបៀបដំណើរការ។
w4_03,4,vocab,事業用,じぎょうよう,ន.,សម្រាប់អាជីវកម្ម,事業用のトラック。,ឡានសម្រាប់អាជីវកម្ម។
w4_04,4,vocab,自家用,じかよう,ន.,សម្រាប់ប្រើប្រាស់ផ្ទាល់ខ្លួន,自家用の車。,រថយន្តសម្រាប់ប្រើផ្ទាល់ខ្លួន។
w4_05,4,vocab,違い,ちがい,ន.,ភាពខុសគ្នា,違いを説明する。,ពន្យល់ពីភាពខុសគ្នា។
w4_06,4,vocab,大きさ,おおきさ,ន.,ទំហំ,車の大きさ。,ទំហំរថយន្ត។
w4_07,4,vocab,種類,しゅるい,ន.,ប្រភេទ,車の種類が多い。,មានប្រភេទរថយន្តច្រើន។
w4_08,4,vocab,自動車,じどうしゃ,ន.,រថយន្ត / ឡាន,自動車を運転する。,បើកបររថយន្ត។
w4_09,4,vocab,大型,おおがた,ន.,ខ្នាតធំ / ទំហំធំ,大型のトラック。,ឡានធុនធំ។
w4_10,4,vocab,中型,ちゅうがた,ន.,ខ្នាតមធ្យម,中型のトラック。,ឡានធុនមធ្យម។
w4_11,4,vocab,普通,ふつう,ន.,ធម្មតា / ទូទៅ,普通の免許。,ប័ណ្ណបើកបរធម្មតា។
w4_12,4,vocab,小型特殊,こがたとくしゅ,ន.,ប្រភេទពិសេសខ្នាតតូច,小型特殊自動車。,យានយន្តពិសេសខ្នាតតូច។
w4_13,4,vocab,国土交通大臣,こくどこうつうだいじん,ន.,រដ្ឋមន្ត្រីក្រសួងដីធ្លីនិងដឹកជញ្ជូនជប៉ុន,国土交通大臣が許可する。,រដ្ឋមន្ត្រីជាអ្នកអនុញ្ញាត។
w4_14,4,vocab,営業,えいぎょう,ន.,ការធ្វើអាជីវកម្ម,営業を始める。,ចាប់ផ្តើមធ្វើអាជីវកម្ម។
w4_15,4,vocab,許可,きょか,ន.,ការអនុញ្ញាត,許可を受ける。,ទទួលការអនុញ្ញាត។
w4_16,4,vocab,運送事業者,うんそうじぎょうしゃ,ន.,ក្រុមហ៊ុនដឹកជញ្ជូន,運送事業者になる。,ក្លាយជាអាជីវករដឹកជញ្ជូន។
w4_17,4,vocab,お客様,おきゃくさま,ន.,អតិថិជន / ភ្ញៀវ,お客様を大切にする。,ថែរក្សាអតិថិជនឱ្យបានល្អ។
w4_18,4,vocab,有償,ゆうしょう,ន.,ការមានកម្រៃ / ការបង់ប្រាក់,有償で運ぶ。,ដឹកជញ្ជូនដោយមានកម្រៃ។
g4_1,4,grammar,〜ために,〜ために,វេយ្យាករណ៍,ដើម្បី... / សម្រាប់...,安全のために確認する。,ពិនិត្យដើម្បីសុវត្ថិភាព។
g4_2,4,grammar,〜に応じた,〜におうじた,វេយ្យាករណ៍,ទៅតាម... / ស្របទៅតាម...,状況に応じた対応をする。,ដោះស្រាយទៅតាមស្ថានភាព។
g4_3,4,grammar,〜のとおり,〜のとおり,វេយ្យាករណ៍,ដូចដែលបាន... / តាម...,説明のとおりに行う。,ធ្វើតាមការពន្យល់។
w5_01,5,vocab,お客様,おきゃくさま,ន.,អតិថិជន / ភ្ញៀវ,,
w5_02,5,vocab,荷物,にもつ,ន.,អីវ៉ាន់ / ភស្តុភារ,,
w5_03,5,vocab,運ぶ,はこぶ,កិ.,ដឹកជញ្ជូន / ជញ្ជូន,,
w5_04,5,vocab,事業用,じぎょうよう,ន.,សម្រាប់អាជីវកម្ម,,
w5_05,5,vocab,緑地,みどりぢ,ន.,ផ្ទៃពណ៌បៃតង,,
w5_06,5,vocab,白い,しろい,គុណ.,ពណ៌ស,,
w5_07,5,vocab,文字,もじ,ន.,អក្សរ / តួអក្សរ,,
w5_08,5,vocab,緑ナンバー,みどりナンバー,ន.,ស្លាកលេខពណ៌បៃតង,,
w5_09,5,vocab,呼ぶ,よぶ,កិ.,ហៅ,,
w5_10,5,vocab,自家用,じかよう,ន.,សម្រាប់ប្រើប្រាស់ផ្ទាល់ខ្លួន,,
w5_11,5,vocab,会社,かいしゃ,ន.,ក្រុមហ៊ុន,,
w5_12,5,vocab,お店,おみせ,ន.,ហាង,,
w5_13,5,vocab,個人,こじん,ន.,បុគ្គល / ឯកជន,,
w5_14,5,vocab,自分,じぶん,ន.,ខ្លួនឯង,,
w5_15,5,vocab,有償,ゆうしょう,ន.,ការមានកម្រៃ / ការបង់ប្រាក់,,
w5_16,5,vocab,白地,しろじ,ន.,ផ្ទៃពណ៌ស,,
w5_17,5,vocab,緑,みどり,ន.,ពណ៌បៃតង,,
w5_18,5,vocab,白ナンバー,しろナンバー,ន.,ស្លាកលេខពណ៌ស,,
w6_01,6,vocab,事故,じこ,ន.,គ្រោះថ្នាក់ / ឧបទ្ទវហេតុ,,
w6_02,6,vocab,社会的影響,しゃかいてきえいきょう,ន.,ឥទ្ធិពលចំពោះសង្គម,,
w6_03,6,vocab,大きい,おおきい,គុណ.,ធំ,,
w6_04,6,vocab,安全,あんぜん,ន.,សុវត្ថិភាព,,
w6_05,6,vocab,安心,あんしん,ន.,ភាពកក់ក្តៅ / សេចក្តីសុខសាន្ត,,
w6_06,6,vocab,確実,かくじつ,គុណ.,ប្រាកដប្រជា / ច្បាស់លាស់,,
w6_07,6,vocab,輸送,ゆそう,ន.,ការដឹកជញ្ជូន,,
w6_08,6,vocab,最優先,さいゆうせん,ន.,អាទិភាពខ្ពស់បំផុត,,
w6_09,6,vocab,特に,とくに,ន.,ជាពិសេស,,
w6_10,6,vocab,交通事故,こうつうじこ,ន.,គ្រោះថ្នាក់ចរាចរណ៍,,
w6_11,6,vocab,命,いのち,ន.,ជីវិត / អាយុជីវិត,,
w6_12,6,vocab,奪う,うばう,កិ.,ឆក់យក / ដណ្តើមយក,,
w6_13,6,vocab,傷つける,きずつける,កិ.,ធ្វើឱ្យរបួស / ធ្វើឱ្យខូចខាត,,
w6_14,6,vocab,経営,けいえい,ន.,ការគ្រប់គ្រងអាជីវកម្ម,,
w6_15,6,vocab,与える,あたえる,កិ.,ផ្តល់ឱ្យ / បង្កឱ្យមាន,,
w6_16,6,vocab,車体,しゃたい,ន.,តួឡាន / តួយានយន្ត,,
w6_17,6,vocab,重い,おもい,គុណ.,ធ្ងន់,,
w6_18,6,vocab,起こす,おこす,កិ.,បង្កឱ្យកើតមាន,,
w6_19,6,vocab,重大事故,じゅうだいじこ,ន.,គ្រោះថ្នាក់ធ្ងន់ធ្ងរ,,
w6_20,6,vocab,被害者,ひがいしゃ,ន.,ជនរងគ្រោះ,,
w6_21,6,vocab,家族,かぞく,ន.,គ្រួសារ,,
w6_22,6,vocab,運送業界,うんそうぎょうかい,ន.,វិស័យដឹកជញ្ជូន,,
w6_23,6,vocab,社会全体,しゃかいぜんたい,ន.,សង្គមទាំងមូល,,
w6_24,6,vocab,大きな損失,おおきなそんしつ,ន.,ការខាតបង់យ៉ាងធំធេង,,
w6_25,6,vocab,影響を受ける,えいきょうをうける,កិ.,ទទួលរងឥទ្ធិពល,,
w6_26,6,vocab,忘れる,わすれる,កិ.,ភ្លេច,,
w6_27,6,vocab,一般,いっぱん,ន.,ទូទៅ / ធម្មតា,,
w6_28,6,vocab,違う,ちがう,កិ.,ខុសគ្នា / មិនដូចគ្នា,,
w6_29,6,vocab,職業,しょくぎょう,ន.,មុខរបរ / អាជីព,,
w6_30,6,vocab,意識,いしき,ន.,មនសិការ / ការដឹងខ្លួន,,
w6_31,6,vocab,絶対,ぜったい,ន.,ដាច់ខាត / ពិតប្រាកដ,,
w6_32,6,vocab,強い信念,つよいしんねん,ន.,ជំនឿចិត្តយ៉ាងមុតមាំ,,
w6_33,6,vocab,持つ,もつ,កិ.,មាន / កាន់កាប់,,
g6_1,6,grammar,〜のために,〜のために,វេយ្យាករណ៍,ដើម្បី... / សម្រាប់...,,
g6_2,6,grammar,〜なければいけません,〜なければいけません,វេយ្យាករណ៍,ត្រូវតែ...,,
g6_3,6,grammar,〜だけでなく,〜だけでなく,វេយ្យាករណ៍,មិនត្រឹមតែ...ប៉ុណ្ណោះទេ,,
g6_4,6,grammar,〜に比べて,〜にくらべて,វេយ្យាករណ៍,បើប្រៀបធៀបជាមួយ...,,
g6_5,6,grammar,〜によって,〜によって,វេយ្យាករណ៍,ដោយសារ... / តាមរយៈ...,,
g6_6,6,grammar,〜とはまったく違う,〜とはまったくちがう,វេយ្យាករណ៍,គឺខុសគ្នាស្រឡះពី...,,
w7_01,7,vocab,追突事故,ついとつじこ,ន.,គ្រោះថ្នាក់បុកពីក្រោយ,,
w7_02,7,vocab,発生状況,はっせいじょうきょう,ន.,ស្ថានភាពនៃការកើតឡើង,,
w7_03,7,vocab,半分,はんぶん,ន.,ពាក់កណ្តាល,,
w7_04,7,vocab,漫然運転,まんぜんうんてん,ន.,ការបើកបរដោយខ្វះការប្រុងប្រយ័ត្ន,,
w7_05,7,vocab,十分,じゅうぶん,ន.,គ្រប់គ្រាន់,,
w7_06,7,vocab,脇見運転,わきみうんてん,ន.,ការបើកបរដោយមិនមើលផ្លូវត្រង់,,
w7_07,7,vocab,居眠り運転,いねむりうんてん,ន.,ការបើកបរងងុយដេក,,
w7_08,7,vocab,過労運転,かろううんてん,ន.,ការបើកបរទាំងនឿយហត់ខ្លាំង,,
w7_09,7,vocab,含まれる,ふくまれる,កិ.,ត្រូវបានរាប់បញ្ចូល,,
w7_10,7,vocab,一般道路,いっぱんどうろ,ន.,ផ្លូវថ្នល់ទូទៅ,,
w7_11,7,vocab,渋滞,じゅうたい,ន.,ការកកស្ទះចរាចរណ៍,,
w7_12,7,vocab,遅い,おそい,គុណ.,យឺត,,
w7_13,7,vocab,速度,そくど,ន.,ល្បឿន,,
w7_14,7,vocab,高速道路,こうそくどうろ,ន.,ផ្លូវល្បឿនលឿន,,
w7_15,7,vocab,停止,ていし,ន.,ការឈប់,,
w7_16,7,vocab,速い,はやい,គុណ.,លឿន,,
w7_17,7,vocab,目立つ,めだつ,កិ.,លេចធ្លោ / គួរឱ្យកត់សម្គាល់,,
g7_1,7,grammar,〜のうち,〜のうち,វេយ្យាករណ៍,ក្នុងចំណោម...,,
g7_2,7,grammar,〜によるもの,〜によるもの,វេយ្យាករណ៍,គឺបណ្តាលមកពី...,,
g7_3,7,grammar,〜の中には,〜のなかには,វេយ្យាករណ៍,នៅក្នុងនោះក៏មាន...ដែរ,,
g7_4,7,grammar,〜なども,〜なども,វេយ្យាករណ៍,...ជាដើម ក៏...ដែរ,,
g7_5,7,grammar,〜（動詞て形）いる,〜ている,វេយ្យាករណ៍,កំពុងតែ...,,
w8_01,8,vocab,交差点,こうさてん,ន.,ផ្លូវបំបែក,,
w8_02,8,vocab,歩行者,ほこうしゃ,ន.,អ្នកថ្មើរជើង,,
w8_03,8,vocab,自転車,じてんしゃ,ន.,កង់,,
w8_04,8,vocab,死亡事故,しぼうじこ,ន.,គ្រោះថ្នាក់បណ្តាលឱ្យស្លាប់,,
w8_05,8,vocab,全体,ぜんたい,ន.,ទាំងមូល / សរុប,,
w8_06,8,vocab,占める,しめる,កិ.,គ្របដណ្តប់ / ចែករំលែកភាគរយ,,
w8_07,8,vocab,左折時,させつじ,ន.,នៅពេលបត់ឆ្វេង,,
w8_08,8,vocab,右折時,うせつじ,ន.,នៅពេលបត់ស្តាំ,,
g8_1,8,grammar,〜のうち,〜のうち,វេយ្យាករណ៍,ក្នុងចំណោម...,,
g8_2,8,grammar,〜での,〜での,វេយ្យាករណ៍,នៅឯ... / នៅត្រង់...,,
g8_3,8,grammar,〜時,〜じ,វេយ្យាករណ៍,នៅពេល... / ក្នុងកំឡុងពេល...,,
g8_4,8,grammar,〜（動詞て形）います,〜ています,វេយ្យាករណ៍,កំពុងតែ...,,
w9_01,9,vocab,健康起因事故,けんこうきいんじこ,ន.,គ្រោះថ្នាក់ដែលមានមូលហេតុមកពីសុខភាព,,
w9_02,9,vocab,防止,ぼうし,ន.,ការបង្ការ / ការទប់ស្កាត់,,
w9_03,9,vocab,疾病,しっぺい,ន.,ជំងឺ,,
w9_04,9,vocab,病気,びょうき,ន.,ជំងឺ,,
w9_05,9,vocab,続ける,つづける,កិ.,បន្ត / ធ្វើបន្ត,,
w9_06,9,vocab,長時間,ちょうじかん,ន.,រយៈពេលយូរ,,
w9_07,9,vocab,条件,じょうけん,ន.,លក្ខខណ្ឌ,,
w9_08,9,vocab,体調,たいちょう,ន.,ស្ថានភាពសុខភាព,,
w9_09,9,vocab,悪い,わるい,គុណ.,មិនល្អ / អាក្រក់,,
w9_10,9,vocab,注意力,ちゅういりょく,ន.,សមត្ថភាពប្រុងប្រយ័ត្ន,,
w9_11,9,vocab,集中力,しゅうちゅうりょく,ន.,សមត្ថភាពផ្ដោតអារម្មណ៍,,
w9_12,9,vocab,低下,ていか,ន.,ការធ្លាក់ចុះ / ការថយចុះ,,
w9_13,9,vocab,高血圧,こうけつあつ,ន.,ជំងឺលើសឈាម,,
w9_14,9,vocab,糖尿病,とうにょうびょう,ន.,ជំងឺទឹកនោមផ្អែម,,
w9_15,9,vocab,肥満,ひまん,ន.,ភាពធាត់ជ្រុល,,
w9_16,9,vocab,生活習慣病,せいかつしゅうかんびょう,ន.,ជំងឺដែលបណ្តាលមកពីទម្លាប់រស់នៅ,,
w9_17,9,vocab,脳卒中,のうそっちゅう,ន.,ជំងឺដាច់សរសៃឈាមខួរក្បាល,,
w9_18,9,vocab,心臓発作,しんぞうほっさ,ន.,ជំងឺគាំងបេះដូង,,
w9_19,9,vocab,定期健康診断,ていきけんこうしんだん,ន.,ការពិនិត្យសុខភាពប្រចាំកាលកំណត់,,
w9_20,9,vocab,必ず,かならず,ន.,ដាច់ខាត / ត្រូវតែ,,
w9_21,9,vocab,受ける,うける,កិ.,ទទួល,,
w9_22,9,vocab,日頃,ひごろ,ន.,ជាធម្មតា / ជាប្រចាំថ្ងៃ,,
w9_23,9,vocab,睡眠,すいみん,ន.,ការគេង,,
w9_24,9,vocab,適度,てきど,ន.,ក្នុងកម្រិតល្មម,,
w9_25,9,vocab,運動,うんどう,ន.,ការហាត់ប្រាណ,,
w9_26,9,vocab,体調管理,たいちょうかんり,ន.,ការថែទាំសុខភាព,,
w9_27,9,vocab,行う,おこなう,កិ.,ធ្វើ / អនុវត្ត,,
w9_28,9,vocab,努める,つとめる,កិ.,ខិតខំប្រឹងប្រែង,,
